"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037127910",0.41491884,143351.085716193,-423074.241694813,143382.497191649,-423024.57802944,0.415438700736882,0.415135377488238,0.123873570662329,0.410486585303836,0.156415154836488,4.23556922290956,4.30155860781522,0.487344851375874,0.93592628236063,1
"06037128210",0.933014006666667,143378.214845436,-424625.043924914,143525.168370081,-424578.675402253,0.93529647985571,0.935235071653332,0.721673937731916,0.910216221323151,0.701745232392137,0,3.90056735079427,0.697459127381929,0.364872037816455,0
"06037128400",0.522426363333333,142053.58581178,-425428.730746671,142119.483909074,-425643.88760833,0.524119679035305,0.523530340994509,0.334670807844416,0.607279515439144,0.471394241046624,6.06522607622832,215.264217029804,0.524119674004361,0.00409270720329606,0
"06037134104",0.73534831,131254.522992776,-421667.765141374,131216.346153285,-421759.448688847,0.737013293159858,0.7379887041746,0.434945630912317,0.721568701680662,0.387802791940339,2.24958683805567,22.2428349776438,0.735834346357964,0.149929162685554,0
"06037131400",1.19418523666667,135274.881238505,-421313.637622368,135210.127984362,-421381.965295943,1.19681498159523,1.19819949820739,0.945981539438423,1.18630623039443,0.909690641513433,0,1.26570899766386,1.20429199226955,0,0
"06037131800",0.632782843333333,135695.995210725,-422402.808808173,135647.139508153,-422364.73828132,0.633815522703584,0.633245546343737,0.267111635009562,0.658475611524969,0.285901676337879,2.1303156559265,3.86787857112176,0.89019978539866,0.140815251005454,0
"06037132300",0.417986266666667,135707.185979582,-423208.887819822,135732.075953299,-423163.44018197,0.418912267436809,0.418960145345425,0.171808151037096,0.41680849864543,0.155115318901899,2.1303156559265,40.0765043546186,0.630983132541514,0.35438058084602,0
"06037702802",0.44514748,146268.250502876,-444351.973632409,146207.692046269,-444306.930854619,0.445868716812498,0.446060365136276,0.330435576805051,0.462562801928916,0.377218185361506,6.45633887138199,38.9814199043914,0.362187560002271,0.212210794394591,0
"06037702502",0.084204156666667,149228.342201281,-443379.577468219,148843.852812867,-444000.038100994,0.138294264323953,0.138234180747352,0.00757346561735528,0.398869792540861,0.22142035185777,124.126243189328,263.117317757805,0.138358199564356,0.800808536496226,0
"06037702700",0.150934426666667,147592.635439602,-444300.242758647,147581.123364209,-444331.041196428,0.205550835796506,0.205391728209746,0.158887165962416,0.213449153963616,0.161253931483044,23.4174073275874,47.6933845210977,0.262807752545138,0.726638226382555,1
"06037702803",0.38626139,144758.626856724,-445455.048072903,144998.70033004,-445363.6348864,0.386618598575644,0.386742763368147,0.122208224198152,0.411221630674113,0.243198816959197,3.17575963479979,16.8113900739998,0.342653670780586,0.62932207649185,1
"06037127210",0.816105433333333,141902.258375227,-421901.645185751,141911.64112474,-422128.837747835,0.769402281281999,0.769213767798284,0.525114505728874,0.818639891827173,0.646156937061624,0,0.984149675584334,0.770568265402567,0.014323925465641,0
"06037181000",0.384560786666667,165717.97607031,-428623.891459728,165587.034272441,-428828.06076235,0.38591376226676,0.386742323883568,0.238953189129052,0.47045583037544,0.373739697574115,28.9421609188963,206.221262303121,0.370761668506633,0.325227048514898,0
